"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"202580_x_at",7.35397382709995,3.68775338328278,21.4319280183805,8.56516769649264e-09,0.000321869644161927,9.93455242810051
"216039_at",-4.40458516012144,2.24055226029981,-20.6438498180088,1.1773923883381e-08,0.000321869644161927,9.72528694326049
"204754_at",-4.00395813652544,7.23076173601958,-18.4607006252739,3.0340980717403e-08,0.00055296437357467,9.06634522970729
"212992_at",3.90493493381264,6.70606936038272,16.7236118134476,6.97918322909952e-08,0.000853474293029909,8.4434211939981
"209910_at",3.41999513077381,3.44507914995378,16.3034483419372,8.64282318551429e-08,0.000853474293029909,8.27737940542448
"202095_s_at",7.4310625179628,3.73344001676339,16.148124632768,9.36597303736525e-08,0.000853474293029909,8.21434513479079
"211086_x_at",-4.81499087015098,2.41108425831976,-15.2725939840515,1.49406926886564e-07,0.00101876319121317,7.8413716426146
"219918_s_at",5.11158661227919,4.87396110427765,14.9440472056173,1.79184646046257e-07,0.00101876319121317,7.69324449324367
"203424_s_at",-4.3175181836986,7.84079131941663,-14.8246747963548,1.91593343771199e-07,0.00101876319121317,7.63826165746242
"203029_s_at",-3.17222725065125,6.83971037669565,-14.8086362392427,1.93332155921318e-07,0.00101876319121317,7.63082618116481
"237127_at",-3.25993354725892,1.70290302157645,-14.4633536932414,2.35367993563955e-07,0.00101876319121317,7.46793395479808
"223392_s_at",-2.91325543101135,6.60042393935062,-14.3562758038883,2.50397490752914e-07,0.00101876319121317,7.41630272249375
"213764_s_at",4.61476789086222,2.34919709047512,14.2565845696641,2.65354055648916e-07,0.00101876319121317,7.3677476551956
"202954_at",3.7644172150227,6.58781305798591,14.0165911201194,3.05602318495295e-07,0.00101876319121317,7.24890179159119
"223393_s_at",-3.18080548859044,7.8518528941047,-14.0152407463094,3.05847176143175e-07,0.00101876319121317,7.24822515013388
"222039_at",6.07958950495884,3.97220545298908,13.9911036507459,3.10260832998701e-07,0.00101876319121317,7.23611546888632
"225482_at",6.82766474755757,3.42456348507225,13.9562355934182,3.16762217661159e-07,0.00101876319121317,7.21857127903432
"242033_at",-3.23736486418557,5.68213023308876,-13.6532304521513,3.80089008807502e-07,0.00105792143737068,7.06354809606421
"204755_x_at",-3.90027563429552,7.21709399538889,-13.6215830902007,3.87476534396058e-07,0.00105792143737068,7.04708741058601
"204793_at",-3.04073503248461,8.47950543931707,-13.6088718552106,3.90488534990768e-07,0.00105792143737068,7.04046139224303
"1554007_at",-3.36886439023745,8.16921930536528,-13.5437440017919,4.06334708455132e-07,0.00105792143737068,7.00638063904352
"205302_at",-5.08075444640673,5.66227613096112,-13.2910012626621,4.74958927331267e-07,0.00116241741032774,6.87201140113337
"1561880_a_at",-3.79004827146821,6.70652743486764,-13.2443252074905,4.88991320302478e-07,0.00116241741032774,6.84682332498052
"204753_s_at",-3.57205827045319,6.83442434974826,-13.1274898302989,5.26178244959972e-07,0.00116992679712336,6.78325578507282
"229160_at",-3.98689004532922,9.42513739334451,-13.100491275771,5.35211523109689e-07,0.00116992679712336,6.76846011646465
"242546_at",3.04163608885533,6.66200797510729,13.0392594623925,5.56343790127248e-07,0.00116992679712336,6.73475477642451
"204548_at",-4.54120215186098,9.29928852803831,-12.7465049195814,6.71056542001599e-07,0.00134937776536768,6.57069618630186
"219737_s_at",-4.15729117952516,5.63111626689939,-12.7012265619928,6.91039367723734e-07,0.00134937776536768,6.54488504600567
"216641_s_at",2.68636564734267,4.58909158962485,12.5331571585598,7.71204626801614e-07,0.00137650189480094,6.44802911267804
"228027_at",-2.47208138345944,8.53799629014532,-12.5228525500089,7.76445496774759e-07,0.00137650189480094,6.44203651388647
